page,priority,content
10,0.85,"that customers and"
10,0.9,"crewmembers are"
10,0.7,"passionate about."
10,0.45,"YOUTH & EDUCATION"
10,0.5,"COMMUNITY"
10,0.55,"ENVIRONMENT"
11,0.9423076923076923,""
11,0.3173076923076923,""
11,0.3173076923076923,""
11,0.375,""
11,0.375,""
11,0.375,""
11,0.375,""
11,0.43269230769230765,""
11,0.43269230769230765,""
11,0.17307692307692307,""
11,0.17307692307692307,""
11,0.17307692307692307,""
11,0.17307692307692307,""
11,0.17307692307692307,""
11,0.17307692307692307,""
11,0.17307692307692307,""
11,0.17307692307692307,""
11,0.17307692307692307,""
11,0.17307692307692307,""
11,0.17307692307692307,""
11,0.17307692307692307,""
11,0.17307692307692307,""
11,0.038461538461538464,""
11,0.4615384615384615,"2 0 1 8  +  2 0 1 9"
11,0.9807692307692308,"JETBLUE FOR GOOD: IT’S IN OUR DNA"
11,0.6346153846153846,"JetBlue works to inspire humanity, not just in the air or in the terminal, but everywhere we touch down. We want"
11,0.5384615384615384,"to leave a legacy of good in every city where we operate and beyond. To make this truly inclusive, we asked our"
11,0.9038461538461539,"customers and crewmembers to help us shape our social impact strategy. From that process came our umbrella"
11,0.75,"platform, JetBlue For Good, which focuses on three key areas that our stakeholders are passionate about: Youth"
11,0.923076923076923,"and Education, Community and the Environment."
11,0.8076923076923077,"JetBlue For Good focuses on education, sparking imagination through reading, building strong communities,"
11,0.7307692307692308,"restoring after natural disasters and working to conserve the environment. For 15 years, JetBlue For Good has"
11,0.6923076923076923,"impacted the lives of thousands of people across JetBlue’s network in the U.S., Caribbean and Latin America."
11,0.9615384615384616,"YOUTH AND EDUCATION: PREPARING FOR TAKEOFF"
11,0.826923076923077,"We’re committed to fostering a world where young people, no matter their background,"
11,0.576923076923077,"can reach their dreams. As a pillar of JetBlue For Good, our youth and education efforts"
11,0.7115384615384616,"focus on providing kids from underserved areas the resources needed to obtain a quality"
11,0.5961538461538461,"education and sustainable careers. We do this through various initiatives including donating"
11,0.7884615384615384,"age-appropriate books to areas where books are scarce outside of school walls. We also"
11,0.6538461538461539,"host regular career days that help expose young adults to the careers available to them"
11,0.8846153846153847,"upon graduation and beyond."
11,0.5576923076923077,"Specifically focused on instilling a passion for science, engineering and math (STEM)"
11,0.5192307692307692,"education and careers in aviation, the JetBlue Foundation is a pivotal part of our mission to"
11,0.8653846153846153,"reach minority youth through hands-on, educational experiences. The JetBlue Foundation"
11,0.673076923076923,"works with various nonprofit partners, colleges, technical schools and our very own"
11,0.7692307692307692,"crewmembers to host events that inspire careers in STEM-related fields."
11,0.6153846153846154,"No career or level of education should be out of reach. So, together with our customers,"
11,0.8461538461538461,"crewmembers and community partners we’re in the business of turning flights of fancy"
11,0.5,"into reality."
11,1.0,"22  23"
11,0.019230769230769232,"J E T B L  U E  S O  C I A L  I M P  A  C  T  R E P  O R  T"
11,0.4807692307692308,"23"
12,0.2619047619047619,"24"
12,0.8571428571428571,"J E T B L U E  S O C I A L  I M P A C T  R E P O R T. 2 0 1 8  +  2 0 1 9"
12,0.9761904761904762,".  .   .   ."
12,0.19047619047619047,""
12,0.19047619047619047,""
12,0.19047619047619047,""
12,1.0,"."
12,0.05952380952380953,""
12,0.05952380952380953,""
12,0.9047619047619048,""
12,0.880952380952381,""
12,0.9285714285714286,""
12,0.05952380952380953,""
12,0.05952380952380953,""
12,0.13095238095238096,""
12,0.13095238095238096,""
12,0.2380952380952381,"2 0 1 8  +  2 0 1 9"
12,0.9523809523809524,"WE’RE FOCUSED . ON INVESTING . IN THE EDUCATION . OF OUR CHILDREN . AND THE FUTURE OF . OUR INDUSTRY."
12,0.5,"One of the most important ways we are working to ensure the future of our industry is"
12,0.6666666666666667,"through the JetBlue Foundation, a company-sponsored private foundation and 501(c)(3)"
12,0.5476190476190476,"nonprofit organization focused on raising awareness for careers in STEM and aviation."
12,0.8333333333333333,"The JetBlue Foundation: Inspiring the Future of Aviation"
12,0.5952380952380952,"Understanding that women and people of color are acutely underrepresented in the airline industry in careers such"
12,0.4523809523809524,"as pilots, engineers, mechanics and technicians, the JetBlue Foundation was created in 2013 to help close this gap."
12,0.40476190476190477,"Since its inception, the JetBlue Foundation has built lasting relationships with more than 90 STEM and aviation-"
12,0.5714285714285715,"focused programs and provided over $1.7 million in grants and in-kind support to help these programs take off."
12,0.42857142857142855,"“The JetBlue Foundation is creating clearer career pathways for the next generation in aviation. We’re focused"
12,0.33333333333333337,"on investing in the education of our children and the future of our industry.”"
12,0.6190476190476191,"– Ursula Hurley, President, JetBlue Foundation"
12,0.6904761904761905,"A career in aviation should never be out of reach. So, together with our customers, crewmembers and community"
12,0.35714285714285715,"partners we’re in the business of turning dreams into reality. Here are just a few of the ways we do this."
12,0.7142857142857143,"The JetBlue Foundation focuses on four main areas:"
12,0.8095238095238095,"• Partnering with organizations and communities to provide access to STEM programs"
12,0.6428571428571429,"for students from traditionally underserved communities;"
12,0.7380952380952381,"• Investing in programs geared toward students from diverse backgrounds to create"
12,0.38095238095238093,"a lifelong interest in STEM as early as possible in a student’s academic career;"
12,0.5238095238095238,"• Creating equal opportunities and increasing access for all students to spark a passion"
12,0.7857142857142857,"for STEM; and"
